From,To
Appartamento,Appartamento
Villa a schiera,Villetta a schiera
Villetta a schiera,Villetta a schiera
Attico,Attico - Mansarda
Villa unifamiliare,Villa
nan,drop
Casa indipendente,Casa indipendente
Villa bifamiliare,Villa
Open space,Loft
Loft,Loft
Mansarda,Attico - Mansarda
Appartamento in villa,Appartamento
Villa plurifamiliare,Villa
Casale,Rustico - Casale
Cascina,Rustico - Casale
Villa,Villa
Attico / Mansarda,Attico - Mansarda
Soffitta,Attico - Mansarda
Loft / Open Space,Loft
Rustico,Rustico - Casale
Rustico / Casale,Rustico - Casale
Appartamento Residenziale - Attico,Attico - Mansarda
Mansarda Residenziale - Attico,Attico - Mansarda
Appartamento Immobile Commerciale - Laboratorio,Appartamento
Appartamento Residenziale - Loft,Loft
Attico Residenziale - Appartamento,Attico - Mansarda
Loft Residenziale - Open space,Loft
Villa bifamiliare Residenziale - Terratetto plurifamiliare,Villa
Appartamento Immobile Commerciale - Ufficio,Appartamento
Loft Residenziale - Appartamento,Loft
Villa unifamiliare Residenziale - Appartamento,Villa
Loft Immobile Commerciale - Laboratorio,Loft
Mansarda Residenziale - Appartamento,Attico - Mansarda
Casa indipendente Immobile Commerciale - Negozio,Casa indipendente
Villa unifamiliare Residenziale - Villa a schiera,Villetta a schiera
Open space Residenziale - Loft,Loft
Attico Residenziale - Mansarda,Attico - Mansarda
Villa plurifamiliare Immobile Commerciale - Negozio,Villa
Casa indipendente Residenziale - Villa bifamiliare,Villa
Casa indipendente Residenziale - Appartamento,Appartamento
Appartamento Residenziale - Mansarda,Attico - Mansarda
Villa unifamiliare Residenziale - Villa bifamiliare,Villa
Villa a schiera Residenziale - Villa unifamiliare,Villetta a schiera
Appartamento in villa Residenziale - Villa plurifamiliare,Villa
Appartamento Immobile Commerciale - Magazzino o deposito,Appartamento
Casale Residenziale - Appartamento,Appartamento
Appartamento Residenziale - Villa unifamiliare,Villa
Villa bifamiliare Residenziale - Villa unifamiliare,Villa
Appartamento in villa Residenziale - Appartamento,Appartamento
Appartamento Immobile Commerciale - Albergo,Appartamento
Loft Immobile Commerciale - Showroom o open space,Loft
Villa unifamiliare Residenziale - Terratetto unifamiliare,Villa
Appartamento Residenziale - Terratetto plurifamiliare,Appartamento
Appartamento Immobile Commerciale - Studio,Appartamento
Appartamento Residenziale - Box o garage,Appartamento
Appartamento in villa Residenziale - Villa unifamiliare,Villa
Villa a schiera Residenziale - Appartamento in villa,Villetta a schiera
Loft Immobile Commerciale - Ufficio,Loft
Loft Immobile Commerciale - Studio,Loft
Casa indipendente Residenziale - Villa unifamiliare,Villa
Appartamento Residenziale - Appartamento in villa,Appartamento
Appartamento Residenziale - Terratetto unifamiliare,Appartamento